fecha,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityK
2015-1-1,1,-1,-2,1,-2,-4,100,90,80,1022,1020,1017,10,7,1,19,10,,0.00,8,Fog,311;;;;;;;;;;;;;;
2015-1-2,0,-2,-4,-4,-5,-6,93,84,69,1024,1023,1021,10,10,10,11,6,,0.00,4,Snow,1;;;;;;;;;;;;;;
2015-1-3,1,-3,-6,-3,-5,-7,93,86,70,1024,1022,1018,10,9,3,11,5,,0.00,5,,138;;;;;;;;;;;;;;
2015-1-4,2,0,-2,2,0,-3,100,95,87,1018,1014,1012,10,6,0,6,2,,0.00,7,Fog-Rain,62;;;;;;;;;;;;;;
2015-1-5,4,2,1,3,2,0,100,94,87,1019,1014,1012,10,6,0,21,8,,0.00,8,Fog,222;;;;;;;;;;;;;;
2015-1-6,11,6,1,5,3,0,93,84,58,1020,1017,1014,10,9,5,27,13,,0.00,7,,144;;;;;;;;;;;;;;
2015-1-7,13,8,4,7,4,3,93,81,63,1014,1009,1005,8,8,8,21,16,,0.00,,,148;;;;;;;;;;;;;;
2015-1-8,7,2,-2,4,1,-4,93,86,70,1015,1008,1004,10,9,5,34,16,40,0.00,7,Rain,270;;;;;;;;;;;;;;
2015-1-9,-2,-6,-10,-5,-12,-14,86,75,63,1033,1026,1016,10,10,10,27,21,,0.00,7,Snow,312;;;;;;;;;;;;;;
2015-1-10,-4,-8,-11,-9,-12,-14,86,76,64,1032,1027,1022,,,,16,11,,0.00,,,61;;;;;;;;;;;;;;
2015-1-11,1,-3,-7,-4,-7,-9,93,78,60,1023,1022,1020,10,10,10,19,8,,0.00,5,,111;;;;;;;;;;;;;;
2015-1-12,1,-1,-3,0,-2,-4,100,92,86,1026,1023,1021,10,6,3,24,16,,0.00,7,,162;;;;;;;;;;;;;;
2015-1-13,3,0,-2,-1,-2,-3,100,85,70,1026,1024,1021,8,6,5,24,18,,0.00,6,,153;;;;;;;;;;;;;;
2015-1-14,3,0,-3,-1,-3,-4,100,86,65,1032,1028,1023,10,9,8,24,13,,0.00,6,,265;;;;;;;;;;;;;;
2015-1-15,6,0,-5,-2,-4,-6,100,78,49,1034,1032,1027,,,,23,11,,0.00,,,134;;;;;;;;;;;;;;
2015-1-16,11,3,-3,-1,-3,-5,86,70,38,1027,1020,1014,,,,21,11,,0.00,,,81;;;;;;;;;;;;;;
2015-1-17,6,2,-2,2,-1,-3,93,79,70,1024,1017,1013,10,10,10,26,10,,0.00,6,,232;;;;;;;;;;;;;;
2015-1-18,4,2,0,1,-2,-3,93,78,70,1024,1023,1022,10,10,10,16,10,,0.00,7,Rain,160;;;;;;;;;;;;;;
2015-1-19,2,0,-1,1,-1,-2,100,92,81,1024,1023,1022,10,8,2,16,8,,0.00,7,Rain-Snow,208;;;;;;;;;;;;;;
2015-1-20,2,0,-2,-1,-2,-4,100,89,75,1029,1027,1024,10,10,3,19,13,,0.00,8,Snow,263;;;;;;;;;;;;;;
2015-1-21,1,0,-1,-2,-3,-4,87,82,75,1029,1028,1027,10,10,10,14,8,,0.00,8,,165;;;;;;;;;;;;;;
2015-1-22,2,1,0,-1,-2,-3,93,86,75,1027,1026,1025,10,9,5,10,6,,0.00,8,Rain-Snow,138;;;;;;;;;;;;;;
2015-1-23,0,-3,-8,-1,-4,-11,100,87,74,1035,1030,1027,10,9,5,27,11,,0.00,8,Snow,24;;;;;;;;;;;;;;
2015-1-24,-7,-10,-12,-11,-13,-16,93,76,58,1042,1039,1035,10,9,8,21,18,,0.00,5,Snow,12;;;;;;;;;;;;;;
2015-1-25,-9,-13,-17,-16,-18,-19,85,67,49,1043,1042,1041,,,,21,16,,0.00,,,41;;;;;;;;;;;;;;
2015-1-26,-11,-14,-18,-18,-19,-21,85,68,53,1043,1041,1038,,,,19,14,,0.00,,,45;;;;;;;;;;;;;;
2015-1-27,-8,-13,-19,-16,-19,-21,85,68,45,1038,1034,1032,,,,24,14,,0.00,,,51;;;;;;;;;;;;;;
2015-1-28,-6,-11,-15,-13,-16,-18,85,71,54,1032,1029,1026,10,10,10,16,13,,0.00,3,,43;;;;;;;;;;;;;;
2015-1-29,-1,-8,-15,-5,-11,-17,86,78,59,1026,1021,1017,,,,23,11,,0.00,,,61;;;;;;;;;;;;;;
2015-1-30,2,-2,-6,-2,-4,-7,100,83,70,1019,1017,1015,10,9,8,14,10,,0.00,7,,3;;;;;;;;;;;;;;
2015-1-31,-2,-6,-8,-6,-9,-11,93,74,59,1023,1020,1019,10,10,10,19,13,,0.00,6,,342;;;;;;;;;;;;;;
2015-2-1,-5,-7,-9,-8,-9,-12,100,85,68,1029,1026,1023,10,7,3,16,11,,0.00,6,Snow,27;;;;;;;;;;;;;;
2015-2-2,0,-4,-9,-6,-7,-10,93,80,60,1030,1029,1028,10,10,10,16,11,,0.00,7,Snow,67;;;;;;;;;;;;;;
