
BRST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2013-1-1,38,31,25,24,22,21,89,58,39,1011,1009,1007,10,10,10,11,8,,0.00,1,,25<br />
2013-1-2,34,29,25,25,24,23,94,76,52,1015,1012,1011,10,9,7,34,14,,0.00,5,,159<br />
2013-1-3,25,24,24,24,24,23,100,96,94,1018,1017,1014,6,4,3,29,18,,0.00,8,Lluvia,158<br />
2013-1-4,27,26,24,24,23,23,94,90,83,1019,1018,1017,10,9,5,19,13,,0.00,7,Lluvia,157<br />
2013-1-5,30,27,24,24,23,22,100,79,62,1018,1015,1013,10,9,7,26,11,,0.00,1,,165<br />
2013-1-6,33,28,24,24,23,22,89,71,55,1013,1011,1007,10,9,7,21,10,,0.00,1,,119<br />
2013-1-7,35,31,27,25,22,20,84,61,49,1010,1009,1007,10,10,10,21,10,,0.00,5,,355<br />
2013-1-8,38,32,26,27,24,22,79,60,42,1011,1009,1006,10,10,9,23,10,53,0.00,1,Tormenta,356<br />
2013-1-9,35,30,26,25,23,22,94,71,49,1012,1010,1009,10,9,8,19,10,,0.00,7,Lluvia,347<br />
2013-1-10,26,24,23,25,24,22,100,95,94,1012,1010,1009,7,4,3,32,6,42,0.00,8,Lluvia,344<br />
2013-1-11,24,22,21,22,20,18,94,88,78,1012,1011,1009,10,6,3,19,10,,0.00,8,Lluvia,327<br />
2013-1-12,26,23,22,23,22,20,94,87,74,1014,1013,1012,10,10,10,16,8,,0.00,6,Lluvia,152<br />
2013-1-13,30,27,23,24,23,22,100,82,62,1015,1014,1013,10,9,6,24,11,,0.00,5,Lluvia,164<br />
