CST,Temperatura m\'e1ximaC,Temperatura mediaC,Temperatura m\'ednimaC,Punto de roc\'edoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi\'f3n al nivel del marhPa, Mean Presi\'f3n al nivel del marhPa, Min Presi\'f3n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r\'e1fagasKm/h,Precipitaci\'f3nmm, CloudCover, Eventos,WindDirDegrees\
2001-1-1,4,-1,-5,-8,-17,-28,80,38,11,1020,1015,1012,8,6,1,61,18,93,0.00,2, ,307\
2001-1-2,0,-3,-8,-24,-27,-29,25,16,11,1028,1025,1020, , , ,35,19,55,0.00, , ,314\
2001-1-3,-4,-7,-10,-26,-29,-32,27,17,10,1032,1030,1028, , , ,29,19, ,0.00, , ,340\
2001-1-4,-4,-9,-13,-22,-24,-27,40,29,17,1034,1032,1030,7,6,5,11,3, ,0.00,2, ,31\
2001-1-5,-2,-8,-13,-13,-18,-23,57,43,31,1036,1034,1032,8,6,3,11,6, ,0.00,4,Nieve,39\
2001-1-6,-3,-4,-6,-3,-5,-9,100,96,69,1035,1031,1027,6,2,1,14,8, ,0.00,8,Nieve,2\
2001-1-7,1,-1,-3,0,-2,-3,100,97,87,1027,1025,1023,6,3,1,14,8, ,0.00,8,Nieve,32\
2001-1-8,1,-1,-5,0,-4,-13,100,82,47,1031,1028,1026,10,4,0,21,8, ,0.00,8,Niebla-Nieve,333\
2001-1-9,-3,-9,-14,-13,-16,-20,67,55,36,1031,1027,1021,8,6,4,18,8, ,0.00,0, ,42\
2001-1-10,-3,-7,-10,-10,-13,-16,86,63,37,1021,1018,1015,7,4,2,14,6, ,0.00,3, ,41\
2001-1-11,-6,-11,-16,-12,-18,-22,92,60,28,1026,1023,1020,8,2,0,11,5, ,0.00,0,Niebla,50\
2001-1-12,-8,-12,-16,-13,-15,-18,85,77,63,1027,1025,1022,5,3,2,6,3, ,0.00,2, ,93\
2001-1-13,-7,-11,-15,-13,-19,-25,92,61,29,1035,1032,1027,8,2,1,40,8,64,0.00,1, ,324\
2001-1-14,-8,-12,-16,-23,-25,-27,43,34,29,1037,1036,1034, , , ,35,16,61,0.00, , ,328\
