KST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2013-1-1,0,-6,-11,-5,-8,-16,93,75,51,1021,1018,1016,10,4,1,32,10,0,0.00,6,Nieve,90
2013-1-2,-6,-11,-16,-9,-21,-25,80,51,37,1037,1031,1021,10,8,6,26,19,0,0.00,3,0,335
2013-1-3,-10,-14,-19,-21,-23,-27,61,49,41,1039,1038,1036,0,,0,21,11,0,0.00,0,,335
2013-1-4,-8,-13,-19,-18,-21,-24,85,59,32,1037,1033,1029,0,,0,13,3,0,0.00,0,,338
2013-1-5,-2,-10,-17,-10,-15,-20,85,69,47,1030,1027,1024,10,6,3,10,3,0,0.00,2,Nieve,328
2013-1-6,-4,-10,-16,-10,-14,-19,86,73,40,1028,1026,1025,9,3,0,10,5,0,0.00,2,Niebla,330
2013-1-7,-2,-8,-14,-11,-13,-16,85,68,40,1027,1026,1024,10,6,2,11,5,0,0.00,6,0,325
2013-1-8,-2,-7,-12,-10,-13,-16,86,65,40,1028,1026,1025,8,5,4,19,6,0,0.00,4,0,325
2013-1-9,-8,-12,-15,-16,-19,-20,73,52,38,1029,1028,1027,0,,0,16,8,0,0.00,0,,330
2013-1-10,-5,-11,-17,-16,-19,-21,78,55,31,1032,1031,1029,10,10,10,11,6,0,0.00,2,0,324
2013-1-11,1,-6,-12,-8,-11,-16,73,59,48,1032,1029,1026,10,10,10,13,6,0,0.00,5,0,155
2013-1-12,4,-1,-6,-2,-6,-9,86,70,55,1026,1025,1023,10,4,1,16,10,0,0.00,5,Nieve,209
2013-1-13,0,-4,-8,-3,-7,-11,93,83,69,1027,1025,1022,3,1,0,13,6,0,0.00,4,Niebla,332
2013-1-14,2,-3,-8,-6,-9,-11,86,71,52,1024,1021,1019,7,4,1,23,8,0,0.00,1,Niebla,340
2013-1-15,2,-4,-9,-6,-10,-12,86,68,44,1027,1025,1024,6,5,4,13,6,0,0.00,0,,320
2013-1-16,0,-3,-6,-6,-8,-10,86,73,60,1026,1024,1022,10,5,1,13,6,0,0.00,5,Nieve,330
2013-1-17,-4,-7,-10,-11,-13,-16,79,67,53,1032,1029,1026,7,5,3,19,8,0,0.00,1,0,329
2013-1-18,0,-7,-13,-8,-13,-17,80,61,32,1033,1031,1028,10,9,8,11,3,0,0.00,2,0,317
2013-1-19,4,-1,-6,-5,-7,-9,80,66,45,1031,1029,1028,10,7,3,11,5,0,0.00,4,0,237
2013-1-20,4,-1,-5,-4,-6,-7,86,70,49,1033,1031,1029,6,3,1,16,6,0,0.00,6,Niebla,48
2013-1-21,4,2,1,1,-1,-5,93,80,52,1028,1022,1017,6,4,2,19,11,0,0.00,8,Lluvia,74
2013-1-22,5,3,1,1,0,-1,93,82,70,1022,1020,1017,10,9,4,11,8,0,0.00,7,Lluvia,338
2013-1-23,3,2,1,1,-1,-5,93,83,65,1022,1019,1017,10,6,3,13,6,0,0.00,7,Lluvia,244
2013-1-24,3,-1,-5,-1,-6,-19,81,65,33,1020,1016,1014,10,5,1,32,13,0,0.00,6,Niebla-Nieve,260
2013-1-25,-6,-8,-10,-17,-19,-21,49,42,33,1024,1022,1021,10,10,10,26,19,0,0.00,1,0,313
2013-1-26,-6,-9,-12,-17,-20,-24,57,44,30,1026,1024,1022,0,,0,19,14,0,0.00,0,,312
2013-1-27,-4,-9,-13,-14,-16,-18,79,55,40,1027,1026,1024,10,10,10,23,8,0,0.00,1,0,327
2013-1-28,0,-6,-12,-6,-11,-16,79,62,40,1028,1027,1026,10,8,6,13,6,0,0.00,8,0,148
2013-1-29,5,2,0,-2,-4,-6,70,62,56,1027,1026,1025,10,6,4,14,10,0,0.00,7,Nieve,138
2013-1-30,9,6,2,1,0,-2,87,72,58,1030,1029,1027,5,4,1,10,6,0,0.00,6,0,134
2013-1-31,11,6,0,1,-1,-3,87,66,47,1031,1029,1025,8,5,2,13,6,0,0.00,4,0,116
2013-2-1,9,7,3,8,5,-1,93,84,50,1025,1017,1012,7,3,1,23,11,0,0.00,7,Niebla-Lluvia,148
2013-2-2,2,-1,-4,-1,-8,-15,87,60,35,1031,1027,1021,10,8,5,23,13,0,0.00,3,0,303
2013-2-3,-1,-4,-6,-3,-8,-13,86,69,43,1031,1025,1019,10,5,1,14,8,0,0.00,8,Nieve,35
2013-2-4,1,-3,-8,-2,-4,-10,93,81,60,1026,1019,1016,10,5,0,24,10,0,0.00,5,Nieve,339
2013-2-5,2,-4,-10,-1,-6,-12,93,81,65,1026,1022,1018,5,2,0,13,6,0,0.00,7,Niebla-Lluvia-Nieve,333
2013-2-6,1,-1,-3,-2,-6,-9,93,73,55,1020,1019,1017,10,6,1,14,11,0,0.00,6,Nieve,302
2013-2-7,-2,-8,-14,-8,-21,-24,74,46,38,1030,1025,1019,10,10,8,35,19,47,0.00,3,0,317
2013-2-8,-9,-13,-16,-17,-23,-27,67,43,29,1035,1033,1030,0,,0,32,14,0,0.00,0,,333
2013-2-9,-2,-9,-16,-11,-16,-20,79,63,40,1031,1029,1027,10,9,7,10,3,0,0.00,3,0,4
2013-2-10,-2,-6,-9,-7,-11,-17,86,64,37,1030,1027,1025,10,4,1,26,10,0,0.00,5,Niebla-Nieve,317
2013-2-11,-3,-8,-13,-12,-17,-19,73,52,29,1034,1032,1030,10,10,10,14,8,0,0.00,6,0,331
