HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-9-3,32,27,23,24,23,21,94,81,68,1013,1012,1011,16,16,14,27,10,35,0.00,5,,152
2015-9-4,32,27,22,23,22,18,94,77,59,1012,1011,1009,16,16,13,21,10,29,T,5,Rain,325
2015-9-5,32,27,22,23,21,19,94,77,59,1012,1010,1009,16,16,16,23,12,27,T,2,,294
2015-9-6,33,28,22,25,22,18,84,73,62,1013,1011,1010,16,15,4,23,12,32,1.02,3,Rain,246
2015-9-7,32,27,22,24,23,21,93,76,59,1014,1013,1011,16,16,14,19,9,23,0.00,3,,275
2015-9-8,33,28,24,25,23,21,94,77,60,1014,1012,1010,16,16,11,23,8,27,0.00,7,Rain,271
2015-9-9,33,29,24,24,23,21,91,75,49,1012,1010,1008,16,16,16,27,8,37,T,5,,171
2015-9-10,32,28,24,24,23,22,96,85,60,1013,1011,1009,16,14,3,29,11,35,1.52,7,Rain,188
2015-9-11,31,27,23,24,23,21,96,81,60,1013,1011,1009,16,14,2,32,11,39,1.52,7,Rain,196
2015-9-12,30,27,23,25,24,22,97,91,71,1014,1012,1010,16,11,1,24,10,34,4.06,7,Rain,184
2015-9-13,29,26,23,25,23,22,100,92,65,1015,1014,1012,16,8,1,24,10,31,48.01,8,Fog-Rain,233
2015-9-14,31,27,23,24,23,21,96,85,58,1015,1014,1011,16,13,3,23,8,26,3.05,6,Rain,259
2015-9-15,28,26,23,26,23,20,97,89,77,1017,1015,1013,16,13,1,23,10,37,7.11,7,Rain,232
2015-9-16,31,27,23,24,23,22,100,92,58,1017,1016,1014,16,9,1,26,8,31,5.33,8,Fog-Rain,247
2015-9-17,31,27,23,23,22,21,97,84,57,1016,1014,1012,16,15,3,26,10,27,6.35,7,Rain,257
2015-9-18,28,25,21,23,22,19,97,91,69,1014,1013,1011,16,10,0,26,10,32,57.40,6,Fog-Rain,254
2015-9-19,31,27,22,24,23,19,100,86,60,1013,1012,1010,16,13,1,19,10,26,1.02,6,Rain,250
2015-9-20,26,24,23,26,24,22,100,97,91,1014,1012,1011,16,6,1,29,10,43,150.88,8,Fog-Rain,277
2015-9-21,31,28,24,24,23,21,100,86,57,1014,1012,1011,16,14,2,27,11,37,16.51,7,Rain,186
2015-9-22,30,26,22,23,22,20,97,84,62,1014,1012,1011,16,14,3,24,10,29,1.78,7,Rain,253
2015-9-23,30,27,23,23,22,21,97,84,60,1014,1012,1010,16,13,3,24,10,29,3.81,7,Rain,256
2015-9-24,31,27,23,22,22,21,93,80,50,1014,1012,1011,16,15,4,21,10,26,0.51,6,Rain,279
2015-9-25,30,26,22,24,22,20,97,89,65,1015,1013,1011,16,9,0,27,10,35,30.23,7,Fog-Rain,246
2015-9-26,30,27,23,23,22,19,94,80,59,1016,1014,1013,16,13,3,27,14,37,8.64,7,Rain,54
2015-9-27,27,25,23,24,22,21,94,89,80,1016,1015,1013,16,9,1,24,11,34,39.12,8,Rain,230
2015-9-28,29,26,22,22,21,19,93,80,57,1016,1015,1013,16,15,3,24,11,31,9.40,8,Rain,285
2015-9-29,30,26,22,22,21,18,91,77,52,1016,1014,1012,16,14,3,21,10,26,T,7,Rain,239
2015-9-30,31,26,21,21,20,19,91,73,47,1015,1014,1012,16,16,16,23,10,29,T,5,,270
2015-10-1,30,25,20,21,18,16,84,67,47,1013,1011,1009,16,16,16,21,10,26,T,2,,284
2015-10-2,29,25,21,22,20,16,93,80,59,1010,1009,1007,16,13,3,23,6,27,4.83,7,Rain,291
2015-10-3,27,24,22,24,22,20,100,91,73,1010,1009,1007,16,7,1,23,10,29,8.89,8,Fog-Rain,328
2015-10-4,31,27,23,25,23,18,100,85,55,1009,1008,1006,16,14,1,29,8,34,16.76,5,Rain,182
2015-10-5,31,26,21,24,21,16,87,72,60,1008,1006,1004,16,16,16,21,10,26,0.00,2,,278
2015-10-6,29,26,23,23,22,15,94,82,56,1007,1005,1004,16,14,4,39,24,50,3.81,6,Rain,349
2015-10-7,29,24,19,21,18,16,81,65,44,1011,1008,1006,16,16,16,32,11,40,0.00,4,,332
2015-10-8,31,26,21,22,20,18,87,73,52,1015,1012,1010,16,16,13,23,8,27,0.00,5,Rain,217
2015-10-9,31,26,21,24,21,16,94,79,50,1018,1016,1014,16,13,1,23,11,27,0.00,5,Rain,249
2015-10-10,29,26,23,26,23,21,96,91,72,1017,1016,1015,16,10,1,27,8,35,15.75,7,Rain,232
2015-10-11,31,28,25,24,24,22,96,84,60,1017,1016,1014,16,15,10,24,5,31,1.02,6,,153
2015-10-12,31,27,23,23,21,18,87,72,57,1016,1014,1012,16,16,16,21,10,24,T,4,,235
2015-10-13,30,26,21,22,20,16,81,70,50,1013,1012,1011,16,16,16,19,10,26,T,2,,299
2015-10-14,31,26,22,24,22,16,93,79,60,1014,1012,1011,16,14,2,21,10,26,1.52,5,Rain,288
2015-10-15,29,26,23,24,23,21,94,88,77,1016,1014,1012,16,9,2,21,8,26,8.38,8,Rain,300
2015-10-16,29,27,24,24,23,20,100,91,72,1018,1015,1013,16,9,1,24,8,31,41.15,8,Fog-Rain-Thunderstorm,279
2015-10-17,32,27,22,25,23,21,94,81,67,1018,1016,1014,16,15,3,24,13,31,5.33,6,Rain,158
2015-10-18,30,27,24,24,23,18,94,82,63,1018,1017,1015,16,15,3,21,6,31,2.54,5,Rain,194
2015-10-19,31,26,21,23,20,16,90,74,50,1019,1017,1015,16,16,16,24,11,29,T,4,Rain,219
2015-10-20,31,27,22,23,22,19,90,78,55,1019,1017,1016,16,15,3,26,8,31,0.51,4,Rain,303
2015-10-21,29,26,22,24,22,20,94,89,72,1018,1016,1014,16,10,2,26,11,35,33.78,8,Rain,250
2015-10-22,30,26,22,23,22,19,94,80,57,1016,1014,1012,16,15,4,23,10,29,0.76,6,Rain,290
2015-10-23,29,26,21,23,21,16,94,81,62,1014,1013,1010,16,12,2,23,10,29,4.32,5,Rain,303
2015-10-24,30,27,23,22,21,18,94,79,52,1013,1011,1009,16,14,4,26,10,32,5.84,7,Rain,297
2015-10-25,30,25,20,22,19,16,82,70,52,1012,1011,1009,16,16,16,24,11,31,0.00,3,,298
2015-10-26,30,26,21,23,21,16,91,73,55,1014,1012,1010,16,16,16,26,11,37,0.00,3,,302
2015-10-27,30,26,22,23,21,18,93,76,57,1016,1014,1012,16,14,4,26,11,32,8.89,7,Rain,338
2015-10-28,29,26,23,22,21,20,94,79,50,1016,1015,1013,16,13,3,19,8,23,3.81,8,Rain,224
2015-10-29,31,27,22,23,22,21,94,83,60,1016,1015,1013,16,11,3,24,8,29,9.65,7,Rain,205
2015-10-30,31,27,23,24,22,18,91,79,57,1017,1016,1013,16,14,3,27,8,34,0.51,6,Rain,179
2015-10-31,32,27,22,23,21,18,90,74,50,1017,1016,1014,16,16,16,23,8,27,0.00,2,,177
2015-11-1,31,26,21,23,21,16,93,75,52,1019,1016,1014,16,14,2,26,12,34,2.03,5,Rain,201
2015-11-2,29,26,21,23,21,18,87,75,63,1017,1016,1014,16,16,13,24,10,34,T,5,Rain,194
2015-11-3,31,27,22,22,21,18,93,79,54,1018,1016,1014,16,15,5,26,11,29,4.32,5,Rain,240
2015-11-4,31,26,20,21,19,16,90,73,48,1018,1016,1014,16,16,13,23,11,31,3.81,4,Rain,211
2015-11-5,26,24,22,23,22,19,94,89,81,1020,1017,1015,16,8,1,19,8,27,7.11,8,Rain,239
2015-11-6,29,26,22,22,21,19,93,80,57,1020,1018,1017,16,16,6,27,11,39,1.02,6,Rain,238
2015-11-7,29,25,21,22,20,18,93,82,59,1020,1018,1016,16,12,3,35,9,40,7.87,7,Rain,251
2015-11-8,28,24,20,23,21,17,94,85,62,1019,1017,1015,16,12,1,24,10,31,17.27,7,Rain,272
2015-11-9,28,24,21,22,21,18,91,85,67,1020,1017,1016,16,12,1,35,10,43,24.64,7,Rain,233
2015-11-10,28,24,20,23,21,18,94,88,69,1021,1019,1017,16,9,2,23,10,39,39.88,8,Rain,221
2015-11-11,29,25,21,22,20,17,94,81,50,1021,1020,1018,16,12,3,27,10,27,17.02,7,Rain,237
2015-11-12,26,24,22,23,21,20,94,87,74,1020,1018,1016,16,13,3,34,10,40,19.56,8,Rain,255
2015-11-13,28,25,22,22,21,20,94,88,67,1018,1017,1015,16,10,1,34,12,40,44.20,7,Rain,232
2015-11-14,28,24,22,22,20,18,93,82,62,1020,1017,1016,16,14,3,26,8,34,3.05,7,Rain,279
2015-11-15,29,24,19,21,19,17,91,79,56,1020,1019,1017,16,14,3,34,11,47,8.64,7,Rain,234
2015-11-16,28,24,21,21,19,18,93,81,49,1018,1017,1014,16,14,2,19,10,,1.02,6,Rain,227
2015-11-17,26,23,21,22,20,18,93,84,72,1017,1016,1014,16,13,3,23,8,32,2.03,7,Rain,228
2015-11-18,29,25,21,23,21,18,94,86,65,1016,1014,1012,16,8,1,24,7,31,91.44,7,Rain,236
2015-11-19,26,24,22,24,22,21,100,94,90,1015,1013,1011,16,5,1,21,10,29,86.87,8,Rain,219
2015-11-20,27,24,22,23,22,21,96,90,79,1015,1013,1012,16,11,3,27,9,39,13.21,8,Rain,193
2015-11-21,29,25,21,23,21,19,91,82,59,1014,1013,1010,16,16,10,27,10,39,0.00,5,Rain,173
2015-11-22,31,26,22,22,21,20,90,79,59,1012,1010,1008,16,16,16,29,9,35,T,7,,165
2015-11-23,31,26,21,23,22,19,97,78,57,1012,1010,1009,16,15,10,19,6,,0.00,6,,326
2015-11-24,29,26,23,22,21,20,91,78,57,1014,1011,1009,16,16,14,23,7,27,T,6,Rain,161
2015-11-25,29,26,21,22,21,18,91,78,47,1016,1014,1013,16,16,16,19,8,23,T,4,Rain,245
2015-11-26,29,25,21,22,21,18,94,83,52,1017,1016,1014,16,13,3,21,8,23,4.06,7,Rain,288
2015-11-27,29,25,21,23,21,20,96,87,61,1019,1017,1016,16,11,1,26,8,31,24.89,7,Rain,245
2015-11-28,29,26,21,22,21,19,97,87,57,1018,1017,1015,16,9,2,32,13,43,25.65,7,Rain,353
2015-11-29,28,24,21,22,20,18,91,79,51,1020,1019,1016,16,15,2,26,8,32,5.33,5,Rain,242
2015-11-30,29,24,19,20,19,17,93,79,56,1020,1019,1016,16,16,4,23,9,26,5.59,6,Rain,240
2015-12-1,29,24,19,21,19,17,93,78,45,1020,1018,1016,16,14,3,19,8,23,6.35,5,Rain,268
2015-12-2,29,24,20,21,19,17,90,78,49,1021,1019,1017,16,16,16,26,10,35,T,6,Rain,204
2015-12-3,29,24,19,20,18,16,90,76,54,1021,1020,1017,16,16,11,27,8,32,1.27,6,Rain,213
2015-12-4,29,24,19,19,18,16,90,73,55,1021,1019,1017,16,16,8,19,10,26,1.02,5,Rain,228
2015-12-5,29,24,18,18,16,13,81,65,48,1021,1020,1017,16,16,16,21,9,27,T,3,,223
2015-12-6,29,24,19,19,17,14,84,66,48,1022,1020,1017,16,16,14,26,12,32,T,4,Rain,193
2015-12-7,29,25,21,21,19,17,84,68,51,1022,1020,1018,16,16,16,29,11,37,0.76,5,,179
2015-12-8,29,24,19,21,19,17,90,74,58,1021,1020,1017,16,16,11,27,11,35,0.51,5,Rain,205
2015-12-9,29,25,21,21,20,18,93,74,55,1022,1020,1018,16,13,3,26,10,29,6.60,7,Rain,300
2015-12-10,26,23,21,22,21,20,97,90,82,1022,1020,1018,16,10,2,19,7,24,21.34,7,Rain,244
2015-12-11,30,26,21,21,19,17,90,69,48,1021,1020,1017,16,16,8,32,12,42,0.51,6,Rain,195
2015-12-12,28,24,21,22,20,18,93,79,65,1019,1018,1015,16,15,4,26,9,34,4.06,6,Rain,183
2015-12-13,29,24,19,21,19,15,90,74,58,1018,1016,1014,16,16,16,27,13,37,T,3,Rain,190
2015-12-14,24,23,21,23,21,19,93,89,84,1017,1016,1013,16,11,2,16,5,19,10.41,8,Rain,224
2015-12-15,28,24,21,22,20,18,93,82,71,1017,1016,1014,16,14,3,27,12,32,11.68,6,Rain,225
2015-12-16,29,24,19,21,19,18,93,76,58,1019,1017,1014,16,14,3,24,9,29,10.92,6,Rain,224
2015-12-17,28,23,18,20,18,14,90,74,58,1021,1019,1017,16,14,3,37,12,48,10.92,6,Rain,251
2015-12-18,29,24,19,21,19,17,90,74,58,1021,1020,1018,16,13,1,29,11,37,14.22,6,Rain,267
2015-12-19,26,23,19,21,19,17,93,77,60,1023,1021,1019,16,11,2,26,10,35,44.45,7,Rain,247
2015-12-20,28,24,19,19,18,16,93,74,54,1024,1022,1020,16,13,3,40,12,48,22.35,7,Rain,233
2015-12-21,27,23,19,21,19,18,97,82,67,1022,1021,1018,16,10,2,32,12,35,35.81,7,Rain,230
2015-12-22,27,23,19,22,20,18,97,87,76,1020,1018,1016,16,9,1,21,7,31,71.88,8,Rain-Thunderstorm,254
2015-12-23,28,23,19,22,19,17,93,80,67,1019,1017,1015,16,15,4,21,9,27,4.32,5,Rain,227
2015-12-24,27,22,17,22,19,13,90,82,73,1018,1016,1014,16,12,1,21,9,26,12.45,6,Rain,268
2015-12-25,27,23,19,22,19,18,97,80,62,1019,1017,1016,16,14,4,26,10,32,7.87,7,Rain,340
2015-12-26,27,23,19,22,20,18,100,81,62,1020,1018,1016,16,14,3,27,9,34,14.73,6,Rain,279
2015-12-27,27,22,18,22,19,16,97,89,81,1019,1016,1014,16,11,3,21,9,26,22.35,7,Rain,249
2015-12-28,29,24,20,21,20,18,93,80,67,1016,1014,1011,16,13,3,24,9,29,20.83,7,Rain,202
2015-12-29,28,23,18,22,19,14,93,79,65,1014,1012,1010,16,16,16,14,6,21,0.00,2,,165
2015-12-30,28,23,19,21,18,14,93,79,64,1017,1015,1013,16,16,16,24,14,32,T,4,,335
2015-12-31,28,23,18,21,18,15,90,74,58,1019,1017,1015,16,14,4,19,8,24,0.51,3,Rain,222
