anio,mes,dia,maxt,mint,maxh,minh,maxv,minv,meanw,precipitation
2015,5,6,26,13,94,46,26,10,5,0.00
2015,5,7,26,11,100,39,26,1,6,0.00
2015,5,8,24,12,100,19,19,3,6,0.00
2015,5,9,27,9,94,36,19,10,6,0.00
2015,5,10,28,12,100,17,19,6,6,0.00
2015,5,11,28,11,88,16,31,14,5,0.00
2015,5,12,29,12,88,22,31,19,6,0.00
2015,5,13,26,13,88,28,31,8,10,0.00
2015,5,14,26,13,82,30,26,10,13,0.00
2015,5,15,22,13,88,61,26,8,8,1.00
2015,5,16,21,9,100,52,26,10,5,1.00
2015,5,17,27,15,88,34,31,10,10,0.00
2015,5,18,30,12,88,21,26,10,6,0.00
2015,5,19,26,14,94,36,31,8,8,0.00
2015,5,20,22,14,94,63,19,6,6,1.00
2015,5,21,20,12,94,60,10,4,6,0.00
2015,5,22,16,12,94,59,10,8,10,0.00
2015,5,23,17,12,100,68,10,6,5,0.00
2015,5,24,21,12,94,49,10,10,6,0.00
2015,5,25,24,9,94,34,31,10,8,0.00
2015,5,26,24,13,88,51,26,10,5,1.00
2015,5,27,23,13,88,29,26,10,10,0.00
2015,5,28,24,10,88,24,26,10,6,0.00
2015,5,29,26,9,94,31,26,10,6,0.00
2015,5,30,25,11,94,23,31,10,8,0.00
2015,5,31,27,11,88,30,31,10,6,0.00
2015,6,1,29,12,94,23,26,14,6,0.00
2015,6,2,29,13,88,20,31,10,6,0.00
2015,6,3,31,13,94,20,19,8,8,0.00
2015,6,4,33,16,94,22,31,3,6,0.00
2015,6,5,34,17,82,24,31,10,10,0.00
2015,6,6,34,17,83,18,31,10,3,0.00
2015,6,7,33,17,88,16,26,10,8,0.00
2015,6,8,32,18,78,21,26,10,6,0.00
2015,6,9,28,17,83,36,26,10,6,0.00
2015,6,10,32,16,94,25,26,7,5,1.00
2015,6,11,33,16,100,23,26,6,5,1.00
2015,6,12,30,17,88,24,19,10,6,0.00
2015,6,13,32,16,88,18,26,10,5,0.00
2015,6,14,27,17,94,40,26,6,3,1.00
2015,6,15,26,18,100,57,31,5,8,1.00
2015,6,16,27,16,100,39,26,8,8,0.00
2015,6,17,26,17,88,36,26,10,8,0.00
2015,6,18,28,14,83,30,31,10,8,0.00
2015,6,19,28,16,94,40,31,10,6,0.00
2015,6,20,28,16,88,30,31,10,8,1.00
2015,6,21,28,15,82,17,31,10,6,0.00
2015,6,22,29,14,88,29,26,10,8,0.00
2015,6,23,30,18,83,25,26,10,11,0.00
2015,6,24,26,15,88,25,31,7,13,0.00
2015,6,25,29,13,68,21,31,10,8,0.00
2015,6,26,31,14,88,14,31,10,5,0.00
2015,6,27,31,15,82,20,31,10,8,0.00
2015,6,28,33,16,88,20,26,10,6,0.00
2015,6,29,32,18,83,21,31,31,5,0.00
2015,6,30,33,19,83,25,26,10,5,0.00
2015,7,1,36,18,83,12,19,19,5,0.00
2015,7,2,36,20,88,23,31,10,6,0.00
2015,7,3,37,21,83,22,31,10,6,0.00
2015,7,4,37,20,73,22,31,10,6,0.00
2015,7,5,37,21,78,20,31,26,6,0.00
2015,7,6,36,21,78,26,31,10,6,0.00
2015,7,7,37,21,83,22,26,14,6,0.00
2015,7,8,34,23,89,25,31,10,8,0.00
2015,7,9,33,22,88,31,19,10,8,0.00
2015,7,10,32,22,65,19,19,19,11,0.00
2015,7,11,35,17,83,16,26,26,5,0.00
2015,7,12,35,19,83,20,26,10,6,0.00
2015,7,13,33,20,83,26,26,10,6,0.00
2015,7,14,37,19,83,19,31,10,6,0.00
2015,7,15,38,21,73,16,21,19,6,0.00
2015,7,16,38,21,78,15,31,10,6,0.00
2015,7,17,37,20,78,15,26,10,6,0.00
2015,7,18,37,20,88,15,19,10,6,0.00
2015,7,19,37,19,83,16,19,19,6,0.00
2015,7,20,37,19,73,17,26,23,6,0.00
2015,7,21,38,21,83,11,31,10,6,0.00
2015,7,22,39,21,88,15,31,5,6,1.00
2015,7,23,37,19,94,15,31,10,5,0.00
2015,7,24,36,21,88,22,31,10,6,1.00
2015,7,25,29,21,89,48,31,8,6,1.00
2015,7,26,34,19,88,20,31,10,10,0.00
2015,7,27,32,21,83,28,31,10,13,0.00
2015,7,28,31,19,88,30,26,10,10,1.00
2015,7,29,31,19,83,26,26,10,11,0.00
2015,7,30,33,21,78,12,31,10,8,0.00
2015,7,31,33,20,88,24,31,10,8,0.00
2015,8,1,33,18,100,23,31,1,6,1.00
2015,8,2,33,19,100,22,26,10,5,0.00
2015,8,3,35,19,88,16,31,10,6,0.00
2015,8,4,36,19,88,21,19,19,6,0.00
2015,8,5,37,20,83,18,31,10,6,0.00
2015,8,6,37,21,78,16,31,10,8,0.00
2015,8,7,38,21,78,17,31,10,8,0.00
2015,8,8,38,21,78,24,26,10,6,0.00
2015,8,9,37,23,78,15,10,10,6,0.00
2015,8,10,26,19,100,69,26,4,6,1.00
2015,8,11,33,19,100,21,26,10,6,0.00
2015,8,12,36,18,94,12,31,19,6,0.00
2015,8,13,37,18,88,11,31,10,5,0.00
2015,8,14,34,19,83,25,26,10,6,0.00
2015,8,15,31,19,88,36,19,10,8,0.00
2015,8,16,28,19,94,31,31,10,6,1.00
2015,8,17,28,16,94,23,26,10,10,0.00
2015,8,18,29,16,94,28,31,10,6,0.00
2015,8,19,28,17,95,33,31,7,5,1.00
2015,8,20,30,14,100,24,19,10,5,0.00
2015,8,21,29,16,94,24,31,10,6,0.00
2015,8,22,30,16,82,18,31,10,8,0.00
2015,8,23,30,15,88,20,31,10,5,0.00
2015,8,24,26,17,100,50,26,2,8,1.00
2015,8,25,29,18,100,22,31,6,6,0.00
2015,8,26,32,14,100,20,31,10,5,0.00
2015,8,27,32,16,94,23,31,10,3,0.00
2015,8,28,33,17,94,20,31,19,5,0.00
2015,8,29,36,17,94,15,31,24,5,0.00
2015,8,30,34,18,94,21,31,10,5,0.00
2015,8,31,34,17,94,13,31,23,5,0.00
2015,9,1,32,16,94,19,31,19,5,0.00
2015,9,2,31,17,88,30,31,10,6,0.00
2015,9,3,29,15,94,36,31,10,6,0.00
2015,9,4,29,18,94,34,31,10,6,0.00
2015,9,5,27,17,83,28,31,10,10,0.00
2015,9,6,28,13,94,19,31,10,6,0.00
2015,9,7,28,12,94,14,31,10,5,0.00
2015,9,8,27,16,63,16,19,10,10,0.00
2015,9,9,26,10,77,20,19,10,10,0.00
2015,9,10,26,14,63,18,31,10,11,0.00
2015,9,11,27,12,82,18,31,10,6,0.00
2015,9,12,28,12,94,24,31,10,5,0.00
2015,9,13,22,14,100,68,10,7,5,0.00
2015,9,14,28,21,88,54,10,10,14,0.00
2015,9,15,27,19,94,44,31,10,6,0.00
2015,9,16,31,18,94,52,19,9,5,0.00
2015,9,17,32,22,94,36,31,9,10,0.00
2015,9,18,28,17,94,24,31,10,6,0.00
2015,9,19,26,13,94,37,31,10,5,0.00
2015,9,20,26,12,100,30,31,9,6,0.00
2015,9,21,27,11,100,22,31,10,5,0.00
2015,9,22,26,11,94,37,26,10,6,0.00
2015,9,23,21,14,94,52,19,5,10,1.00
2015,9,24,19,12,94,51,31,10,10,0.00
2015,9,25,24,14,77,43,31,10,10,1.00
2015,9,26,24,12,88,35,31,10,10,0.00
2015,9,27,23,14,72,28,31,10,13,0.00
2015,9,28,20,16,63,36,31,10,13,0.00
2015,9,29,20,13,67,30,31,10,21,0.00
2015,9,30,21,13,67,36,31,10,11,0.00
2015,10,1,17,14,82,47,31,10,10,1.00
2015,10,2,23,14,100,43,31,6,21,1.00
2015,10,3,23,13,100,41,31,0,5,0.00
2015,10,4,24,14,100,69,19,3,8,1.00
2015,10,5,26,17,100,54,19,8,5,1.00
2015,10,6,24,18,100,66,14,4,5,1.00
2015,10,7,25,17,100,50,19,8,6,1.00
2015,10,8,24,13,100,34,31,10,6,0.00
2015,10,9,24,10,100,40,31,10,5,0.00
2015,10,10,18,15,82,57,19,10,14,1.00
2015,10,11,23,12,88,26,31,10,11,0.00
2015,10,12,21,9,100,48,19,8,3,1.00
2015,10,13,19,15,100,87,14,3,5,1.00
2015,10,14,20,16,100,73,26,6,6,1.00
2015,10,15,17,12,100,55,10,5,8,1.00
2015,10,16,17,9,94,43,31,4,8,1.00
2015,10,17,19,9,100,57,26,10,3,0.00
2015,10,18,18,8,100,59,31,7,3,1.00
2015,10,19,21,11,100,45,31,3,3,0.00
2015,10,20,19,8,93,25,31,19,11,0.00
2015,10,21,17,11,63,36,31,19,11,0.00
2015,10,22,17,10,71,29,31,10,13,0.00
2015,10,23,19,11,62,26,31,19,13,0.00
2015,10,24,24,10,94,23,31,19,8,0.00
2015,10,25,20,6,100,49,31,10,3,0.00
2015,10,26,21,6,100,51,31,8,2,0.00
2015,10,27,17,6,100,62,19,6,3,0.00
2015,10,28,18,13,100,76,14,3,6,1.00
2015,10,29,21,12,100,45,31,2,6,0.00
2015,10,30,20,12,88,44,31,10,10,0.00
2015,10,31,18,13,72,35,31,14,11,0.00
2015,11,1,18,12,67,31,31,10,13,0.00
2015,11,2,19,8,93,33,31,19,8,0.00
2015,11,3,21,4,100,36,19,10,2,0.00
2015,11,4,21,13,94,55,14,8,2,0.00
2015,11,5,21,12,100,57,19,5,3,0.00
2015,11,6,21,11,100,54,26,3,5,0.00
2015,11,7,19,8,100,52,26,3,3,0.00
2015,11,8,20,6,100,46,26,0,3,1.00
2015,11,9,18,9,100,55,19,0,3,0.00
2015,11,10,19,7,100,61,19,2,3,0.00
2015,11,11,16,10,100,70,10,5,2,0.00
2015,11,12,19,6,100,48,19,0,2,0.00
2015,11,13,14,4,100,77,9,0,2,0.00
2015,11,14,19,11,100,56,14,3,3,0.00
2015,11,15,16,10,100,79,10,5,2,0.00
2015,11,16,18,9,100,57,14,3,3,0.00
2015,11,17,16,9,94,61,19,6,3,0.00
2015,11,18,18,13,94,59,19,10,3,0.00
2015,11,19,17,13,94,64,14,10,5,0.00
2015,11,20,18,13,88,69,14,10,6,1.00
2015,11,21,17,7,94,61,19,3,16,1.00
2015,11,22,12,2,93,38,14,10,10,0.00
2015,11,23,10,1,100,54,19,10,5,1.00
2015,11,24,12,1,87,38,31,10,8,1.00
2015,11,25,9,-2,100,53,19,6,3,0.00
2015,11,26,10,4,70,35,31,8,16,0.00
2015,11,27,11,5,70,30,19,10,19,0.00
2015,11,28,10,-2,93,40,26,8,5,0.00
2015,11,29,13,-1,100,52,10,4,2,0.00
2015,11,30,13,1,100,73,6,0,2,0.00
2015,12,1,15,9,100,59,19,3,3,0.00
2015,12,2,17,9,100,51,19,6,2,0.00
2015,12,3,12,5,94,63,14,8,3,0.00
2015,12,4,11,3,100,69,10,5,2,0.00
2015,12,5,15,6,100,55,19,6,2,0.00
2015,12,6,11,0,100,69,10,3,2,0.00
2015,12,7,11,0,100,63,10,6,3,0.00
2015,12,8,13,4,100,77,10,2,3,1.00
2015,12,9,14,3,100,77,9,0,2,0.00
2015,12,10,16,3,100,27,31,0,6,0.00
2015,12,11,14,-2,100,40,31,7,2,0.00
2015,12,12,13,3,100,65,14,6,3,0.00
2015,12,13,11,9,100,84,14,3,3,0.00
2015,12,14,13,3,100,78,10,0,2,0.00
2015,12,15,8,0,100,86,8,3,2,0.00
2015,12,16,13,3,100,69,8,0,2,0.00
2015,12,17,12,-1,100,70,14,0,3,0.00
2015,12,18,9,1,100,71,10,0,2,0.00
2015,12,19,15,3,100,69,7,0,2,0.00
2015,12,20,6,1,100,98,4,0,3,1.00
2015,12,21,10,4,100,81,9,0,3,1.00
2015,12,22,11,7,100,89,6,2,2,1.00
2015,12,23,14,8,100,74,10,1,3,0.00
2015,12,24,14,9,100,73,14,10,3,0.00
2015,12,25,16,3,100,70,10,0,3,0.00
2015,12,26,6,2,100,98,3,0,2,1.00
2015,12,27,5,3,100,98,1,0,3,1.00
2015,12,28,5,2,100,99,3,0,2,1.00
2015,12,29,14,3,100,61,14,1,3,0.00
2015,12,30,13,1,100,37,31,0,5,0.00
2015,12,31,10,1,87,36,31,26,5,0.00
