CST,Temperatura m\'e1ximaC,Temperatura mediaC,Temperatura m\'ednimaC,Punto de roc\'edoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi\'f3n al nivel del marhPa, Mean Presi\'f3n al nivel del marhPa, Min Presi\'f3n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r\'e1fagasKm/h,Precipitaci\'f3nmm, CloudCover, Eventos,WindDirDegrees\
2012-1-1,2,-4,-10,-11,-15,-18,86,45,22,1036,1033,1030,8,4,3,21,10, ,0.00,0, ,45\
2012-1-2,2,-3,-8,-8,-13,-19,86,50,20,1032,1029,1026,7,5,4,47,16,61,0.00,0, ,337\
2012-1-3,-1,-3,-6,-18,-19,-21,36,30,21,1035,1032,1030, , , ,50,31,68,0.00, , ,312\
2012-1-4,1,-6,-12,-17,-19,-22,53,33,17,1037,1034,1031, , , ,32,18,40,0.00, , ,331\
2012-1-5,3,-6,-14,-15,-17,-20,73,47,17,1031,1029,1026,8,7,6,11,5, ,0.00,0, ,358\
2012-1-6,-2,-7,-11,-11,-13,-17,74,54,40,1040,1037,1031,10,8,2,14,8, ,0.00,4, ,144\
2012-1-7,-4,-6,-6,-5,-7,-11,100,83,59,1040,1038,1035,10,5,2,11,6, ,0.00,8,Nieve,101\
2012-1-8,1,-4,-8,-6,-8,-10,93,78,44,1035,1033,1031,7,5,3,14,5, ,0.00,3, ,10\
2012-1-9,2,-6,-12,-10,-12,-15,93,66,30,1033,1032,1030,8,5,2,14,5, ,0.00,0, ,26\
2012-1-10,3,-3,-9,-5,-13,-20,100,58,20,1040,1033,1031,7,2,0,43,11,61,0.00,1,Niebla,345\
2012-1-11,0,-6,-12,-15,-17,-19,62,42,29,1041,1037,1031,7,7,7,18,10,32,0.00,0, ,204\
2012-1-12,5,-4,-13,-13,-15,-17,79,52,23,1031,1026,1022,8,6,3,18,6, ,0.00,0, ,358\
2012-1-13,5,-2,-9,-12,-14,-15,68,45,23,1030,1027,1026,8,7,5,18,10,29,0.00,0, ,340\
2012-1-14,5,-2,-10,-12,-15,-17,68,44,19,1028,1026,1024,8,7,6,21,8, ,0.00,0, ,23\
2012-1-15,2,-4,-9,-9,-12,-15,68,54,38,1026,1023,1021,8,6,3,11,5, ,0.00, , ,18\
2012-1-16,-1,-6,-9,-7,-10,-13,79,68,51,1022,1021,1019,6,4,3,11,5, ,0.00,3, ,6\
2012-1-17,1,-2,-5,-4,-7,-8,93,70,55,1025,1023,1021,5,3,1,14,6, ,0.00,1, ,5\
2012-1-18,0,-3,-7,-3,-7,-9,93,78,51,1027,1026,1024,2,2,1,14,6, ,0.00,0, ,29\
2012-1-19,1,-3,-6,-6,-7,-8,93,74,56,1032,1029,1027,3,2,2,14,5, ,0.00, , ,28\
2012-1-20,-1,-4,-8,-7,-19,-25,93,32,20,1038,1035,1032,7,4,2,26,18,35,0.00, , ,28\
2012-1-21,-4,-8,-12,-24,-26,-27,31,25,17,1040,1037,1035, , , ,26,18, ,0.00, , ,19\
2012-1-22,-3,-9,-15,-23,-25,-27,47,29,16,1038,1035,1031, , , ,29,13, ,0.00, , ,4\
2012-1-23,-1,-9,-17,-20,-23,-25,61,34,18,1032,1029,1025, , , ,32,11,47,0.00, , ,324\
2012-1-24,0,-6,-12,-21,-23,-25,45,28,16,1030,1028,1025, , , ,29,13,61,0.00, , ,313\
2012-1-25,2,-7,-16,-17,-21,-23,61,36,16,1027,1023,1020, , , ,35,8,43,0.00, , ,315\
2012-1-26,4,-6,-14,-15,-18,-20,67,42,17,1023,1021,1018,7,7,7,18,6, ,0.00,0, ,8\
2012-1-27,1,-6,-11,-10,-17,-22,80,38,17,1030,1027,1023,8,8,8,21,11, ,0.00,0, ,101\
2012-1-28,-1,-6,-11,-9,-11,-13,86,68,55,1033,1030,1029,10,8,4,6,5, ,0.00,7,Nieve,66\
2012-1-29,0,-5,-10,-12,-19,-23,79,36,17,1036,1034,1032,8,5,4,18,11, ,0.00,0, ,34\
2012-1-30,-4,-7,-8,-7,-11,-15,86,74,58,1035,1031,1025,8,5,3,11,6, ,0.00,3,Nieve,93\
2012-1-31,-1,-6,-9,-8,-18,-29,86,45,13,1032,1025,1021,7,4,4,29,13, ,0.00,6, ,19\
2012-2-1,-5,-10,-14,-23,-26,-28,34,25,20,1040,1036,1033, , , ,29,16, ,0.00, , ,32\
2012-2-2,-2,-8,-13,-22,-24,-26,48,27,16,1041,1037,1031, , , ,29,16,40,0.00, , ,357\
2012-2-3,4,-6,-16,-21,-23,-26,52,30,10,1031,1025,1021, , , ,40,11,61,0.00, , ,336\
2012-2-4,2,-4,-10,-19,-22,-25,35,24,13,1029,1026,1023, , , ,21,14, ,0.00, , ,41\
2012-2-5,4,-1,-6,-11,-14,-19,59,43,26,1023,1019,1016,8,6,4,14,6, ,0.00,0, ,76\
2012-2-6,-1,-6,-9,-10,-21,-28,68,30,14,1033,1027,1019,6,4,3,58,26,76,0.00, , ,342\
2012-2-7,-1,-7,-13,-23,-26,-28,31,23,16,1034,1031,1028, , , ,50,27,72,0.00, , ,334\
2012-2-8,3,-4,-12,-20,-23,-25,37,24,13,1030,1027,1023, , , ,35,18,58,0.00, , ,329\
2012-2-9,3,-6,-13,-17,-19,-22,57,32,16,1029,1026,1023, , , ,40,10,35,0.00, , ,299\
2012-2-10,3,-3,-9,-19,-21,-23,41,22,13,1033,1029,1026, , , ,40,19,40,0.00, , ,259\
2012-2-11,6,-3,-11,-9,-19,-23,69,33,12,1030,1027,1026,8,8,8,18,8, ,0.00, , ,71\
2012-2-12,1,-4,-10,-7,-9,-13,86,65,48,1031,1027,1023,10,6,5,11,6, ,0.00,4, ,47\
2012-2-13,4,-2,-8,-8,-9,-12,79,60,36,1025,1023,1021,5,4,3,11,6, ,0.00,1, ,23\
2012-2-14,5,-1,-6,-8,-17,-26,80,37,10,1031,1027,1023,8,4,3,26,10,40,0.00,0, ,23\
2012-2-15,3,-3,-10,-8,-11,-21,86,59,24,1031,1029,1024,9,7,5,26,8,26,0.00,0, ,79\
2012-2-16,3,-3,-8,-19,-21,-23,38,25,14,1032,1030,1028, , , ,29,16,43,0.00, , ,334\
2012-2-17,1,-4,-8,-19,-22,-25,38,25,13,1035,1033,1030, , , ,47,26,64,0.00, , ,339\
2012-2-18,4,-3,-10,-18,-21,-23,42,25,14,1035,1031,1026, , , ,29,18,47,0.00, , ,323\
2012-2-19,7,-2,-11,-17,-20,-23,53,28,11,1028,1024,1020,8,8,7,18,8, ,0.00, , ,243\
2012-2-20,8,-1,-9,-7,-17,-21,55,34,12,1022,1021,1018,9,7,4,26,6, ,0.00,0, ,78\
2012-2-21,4,-2,-7,-5,-11,-13,86,50,33,1023,1020,1017,8,7,5,11,5, ,0.00,0, ,188\
2012-2-22,6,1,-4,-2,-6,-15,93,67,26,1024,1016,1012,4,3,2,35,6,43,0.00,5, ,355\
2012-2-23,6,-1,-7,-13,-16,-20,54,31,14,1029,1026,1024, , , ,21,13, ,0.00, , ,54\
2012-2-24,5,0,-4,-8,-11,-16,69,47,28,1029,1024,1021,8,7,6,21,8, ,0.00, , ,51\
2012-2-25,3,-3,-9,-15,-19,-21,45,26,16,1034,1031,1028, , , ,21,14, ,0.00, , ,338\
2012-2-26,7,0,-7,-14,-17,-19,49,30,14,1031,1029,1026,7,6,6,11,6, ,0.00,0, ,81\
2012-2-27,6,-1,-8,-6,-9,-13,86,55,29,1028,1025,1021,8,5,3,14,8, ,0.00,0, ,124\
2012-2-28,8,1,-6,-7,-8,-10,80,53,29,1022,1020,1019,8,5,3,21,5, ,0.00,0, ,132\
2012-2-29,9,1,-6,-5,-6,-9,86,61,37,1022,1021,1019,5,5,4,14,6, ,0.00,0, ,84\
2012-3-1,5,0,-4,1,-3,-7,100,76,53,1025,1023,1021,3,2,1,14,6, ,0.00,8,Lluvia,50\
2012-3-2,2,0,-1,1,-1,-2,100,91,75,1029,1027,1025,4,2,1,14,10, ,0.00,8,Lluvia-Nieve,149\
2012-3-3,3,1,-1,-1,-6,-9,100,65,48,1031,1029,1027,10,7,3,14,8, ,0.00,8, ,142\
2012-3-4,5,0,-4,-6,-8,-10,80,56,33,1027,1022,1018,9,6,3,11,3, ,0.00,0, ,68\
2012-3-5,4,-1,-5,-4,-6,-9,93,67,44,1018,1014,1011,6,5,4,21,6, ,0.00,0, ,347\
2012-3-6,10,5,0,-9,-15,-17,44,24,15,1019,1016,1012, , , ,47,26,61,0.00, , ,297\
2012-3-7,10,4,-1,-10,-15,-21,51,25,12,1028,1022,1018, , , ,40,18,40,0.00, , ,321\
2012-3-8,4,0,-4,-15,-20,-23,40,24,12,1032,1030,1028, , , ,40,16,32,0.00, , ,20\
2012-3-9,6,-1,-7,-6,-11,-16,93,48,23,1030,1026,1022,8,7,6,18,8,35,0.00,0, ,141\
2012-3-10,7,1,-5,-7,-16,-25,80,35,11,1035,1027,1022,8,8,8,47,19,68,0.00, , ,346\
2012-3-11,6,0,-5,-19,-22,-24,29,19,11,1037,1033,1028, , , ,35,24,47,0.00, , ,296\
2012-3-12,9,0,-9,-13,-17,-20,62,29,12,1030,1027,1022,8,7,6,18,6, ,0.00,0, ,49\
2012-3-13,14,4,-6,-10,-13,-16,68,32,13,1023,1020,1015,8,6,5,29,8, ,0.00,0, ,244\
2012-3-14,12,7,1,-9,-16,-19,48,20,11,1029,1025,1021, , , ,26,14,43,0.00, , ,94\
2012-3-15,10,2,-5,2,-7,-14,87,49,17,1029,1024,1019,8,6,4,14,8, ,0.00,8,Lluvia,107\
2012-3-16,11,7,3,5,3,2,100,85,58,1018,1013,1010,4,2,1,11,8, ,0.00,4,Niebla-Lluvia,110\
2012-3-17,4,2,0,4,3,0,100,98,93,1020,1014,1012,2,1,0,18,8, ,0.00,8,Niebla-Lluvia-Nieve,132\
2012-3-18,5,2,-1,0,-4,-8,100,67,48,1029,1026,1021,10,8,1,26,13,32,0.00,7,Nieve,61\
2012-3-19,7,3,-1,-1,-3,-8,93,69,36,1028,1026,1022,8,6,4,14,6, ,0.00, , ,152\
2012-3-20,11,4,-2,1,-2,-7,100,66,28,1026,1024,1022,8,5,2,18,8,35,0.00,0, ,202\
2012-3-21,11,4,-1,3,1,-2,100,74,54,1024,1020,1016,3,2,1,14,8, ,0.00,0, ,80\
2012-3-22,12,8,5,3,-1,-7,87,56,28,1025,1021,1019,9,4,2,18,10,40,0.00,1, ,198\
2012-3-23,14,7,1,2,-7,-15,100,45,14,1019,1016,1012,10,7,4,61,21,87,0.00,8,Lluvia,304\
2012-3-24,15,8,2,-7,-12,-15,48,22,13,1022,1019,1017, , , ,47,24,72,0.00, , ,347\
2012-3-25,15,8,2,-3,-10,-13,57,29,14,1026,1023,1020, , , ,18,6, ,0.00, , ,159\
2012-3-26,18,9,1,0,-4,-6,66,43,19,1021,1019,1015,9,7,6,11,6, ,0.00,0, ,95\
2012-3-27,25,13,2,1,-6,-12,76,34,9,1023,1020,1018,9,7,6,26,10,43,0.00,0, ,344\
2012-3-28,19,12,5,-3,-6,-9,45,26,16,1028,1023,1018, , , ,26,13, ,0.00, , ,115\
2012-3-29,23,14,6,2,-6,-13,61,27,9,1019,1014,1011,10,10,10,55,16,76,0.00,6,Lluvia,313\
2012-3-30,13,9,6,-10,-14,-19,29,18,10,1025,1021,1016,6,5,5,61,34,72,0.00, , ,321\
