CST,Temperatura m\'e1ximaC,Temperatura mediaC,Temperatura m\'ednimaC,Punto de roc\'edoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi\'f3n al nivel del marhPa, Mean Presi\'f3n al nivel del marhPa, Min Presi\'f3n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r\'e1fagasKm/h,Precipitaci\'f3nmm, CloudCover, Eventos,WindDirDegrees\
2006-1-1,8,0,-7,-6,-9,-14,93,60,20,1029,1026,1023,10,5,3,21,10, ,0.00,1, ,304\
2006-1-2,6,0,-6,-8,-12,-14,69,44,23,1028,1026,1025,8,7,4,14,6, ,0.00,0, ,329\
2006-1-3,1,-3,-7,-5,-11,-14,80,54,44,1034,1029,1026,10,7,5,14,8, ,0.00,5,Nieve,99\
2006-1-4,-2,-6,-8,-7,-23,-28,86,28,17,1041,1039,1034,6,6,6,35,18,50,0.00, , ,337\
2006-1-5,-3,-7,-11,-24,-27,-29,24,21,17,1042,1038,1034, , , ,35,27,55,0.00, , ,302\
2006-1-6,1,-3,-7,-23,-25,-27,24,18,13,1035,1033,1030, , , ,32,19,50,0.00, , ,295\
2006-1-7,3,-2,-7,-17,-22,-24,36,22,13,1033,1031,1028,7,6,4,29,18, ,0.00,0, ,314\
2006-1-8,3,-3,-9,-18,-20,-21,42,30,17,1029,1026,1023,8,6,3,14,8, ,0.00,0, ,9\
2006-1-9,5,-2,-9,-15,-17,-20,45,33,19,1025,1023,1021,8,6,4,14,10, ,0.00,0, ,360\
2006-1-10,3,-3,-8,-7,-12,-16,74,49,34,1029,1026,1023,7,5,4,18,8, ,0.00,0, ,69\
2006-1-11,-1,-3,-4,-4,-6,-9,86,76,64,1031,1029,1028,8,5,3,14,6, ,0.00,7,Nieve,120\
2006-1-12,0,-2,-5,0,-2,-5,100,94,75,1029,1024,1021,4,2,0,14,10, ,0.00,7,Niebla-Nieve,340\
2006-1-13,6,-1,-7,-2,-4,-7,100,80,49,1024,1023,1021,8,4,0,14,8, ,0.00,0,Niebla,5\
2006-1-14,-2,-6,-8,-2,-4,-8,100,96,80,1025,1023,1022,5,2,0,11,6, ,0.00,3,Niebla,108\
2006-1-15,6,0,-5,-2,-7,-13,100,69,25,1023,1022,1021,8,3,1,21,8, ,0.00,2,Niebla,43\
2006-1-16,1,-3,-6,-4,-7,-11,86,72,51,1030,1025,1023,6,3,1,14,8, ,0.00,4, ,140\
2006-1-17,-3,-6,-8,-10,-12,-15,86,58,43,1035,1033,1030,10,7,4,18,11, ,0.00,8,Nieve,159\
2006-1-18,1,-4,-10,-8,-9,-11,93,75,52,1036,1035,1033,5,3,2,14,8, ,0.00,0, ,47\
2006-1-19,-1,-6,-9,-7,-8,-11,93,76,64,1037,1034,1033,3,2,1,11,6, ,0.00,0, ,62\
2006-1-20,3,-1,-4,-6,-7,-9,80,63,41,1033,1030,1028,4,2,1,11,5, ,0.00, , ,65\
2006-1-21,3,-3,-8,-7,-8,-10,86,68,48,1030,1027,1025,3,2,2,11,5, ,0.00,0, ,28\
2006-1-22,4,-1,-6,-7,-10,-14,69,52,36,1035,1032,1028,8,5,2,14,8, ,0.00,0, ,89\
2006-1-23,0,-4,-8,-6,-8,-10,93,78,55,1035,1034,1033,5,3,2,14,6, ,0.00,0, ,62\
2006-1-24,0,-4,-8,-7,-8,-9,93,76,60,1034,1032,1029,3,2,2,11,8, ,0.00,0, ,358\
2006-1-25,5,-1,-6,-7,-11,-13,86,52,29,1037,1034,1032,7,4,2,26,13, ,0.00,0, ,34\
2006-1-26,7,-1,-8,-7,-9,-11,80,60,27,1032,1027,1023,5,3,3,11,6, ,0.00,0, ,3\
2006-1-27,6,0,-6,-6,-10,-13,74,52,31,1028,1027,1025,8,6,3,21,11, ,0.00,0, ,117\
