CST,Temperatura m\'e1ximaC,Temperatura mediaC,Temperatura m\'ednimaC,Punto de roc\'edoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi\'f3n al nivel del marhPa, Mean Presi\'f3n al nivel del marhPa, Min Presi\'f3n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r\'e1fagasKm/h,Precipitaci\'f3nmm, CloudCover, Eventos,WindDirDegrees\
2008-1-1,2,-2,-5,-15,-19,-20,34,27,18,1035,1032,1030, , , ,35,27,55,0.00, , ,314\
2008-1-2,6,-1,-7,-14,-17,-22,58,30,13,1030,1027,1024,9,9,8,21,11, ,0.00,0, ,318\
2008-1-3,5,1,-3,-15,-19,-23,40,22,13,1029,1027,1025, , , ,35,19,35,0.00, , ,333\
2008-1-4,5,-1,-7,-12,-13,-17,68,48,19,1029,1026,1023,9,6,3,6,5, ,0.00,0, ,345\
2008-1-5,4,-3,-9,-10,-12,-13,79,58,28,1023,1020,1016,5,4,2,11,5, ,0.00,0, ,352\
2008-1-6,8,0,-7,-5,-12,-18,75,45,14,1024,1022,1020,8,5,3,18,10, ,0.00,0, ,31\
2008-1-7,7,0,-7,-5,-8,-17,93,64,17,1024,1021,1018,6,4,3,50,10,72,0.00,0, ,325\
2008-1-8,7,0,-6,-7,-13,-18,86,47,16,1021,1019,1017,9,5,3,21,8, ,0.00,0, ,28\
2008-1-9,1,-2,-5,-6,-12,-18,80,51,23,1028,1025,1020,9,7,5,14,6, ,0.00,0, ,165\
2008-1-10,-2,-6,-10,-10,-12,-13,79,66,51,1028,1026,1024,8,6,5,6,5, ,0.00,0, ,8\
2008-1-11,4,-3,-9,-10,-16,-24,80,40,14,1034,1028,1026,8,6,6,18,8, ,0.00,0, ,3\
2008-1-12,-1,-4,-7,-20,-23,-26,36,23,16,1043,1040,1035,6,6,6,21,16, ,0.00, , ,33\
2008-1-13,-3,-6,-8,-18,-22,-24,42,27,21,1044,1042,1040,8,8,7,14,10, ,0.00, , ,106\
2008-1-14,-6,-8,-11,-12,-15,-18,79,60,42,1040,1038,1036,8,5,3,6,5, ,0.00,0, ,85\
2008-1-15,-1,-7,-12,-13,-15,-18,85,60,27,1042,1040,1039,8,5,3,11,8, ,0.00,0, ,359\
2008-1-16,-2,-7,-12,-16,-20,-23,62,41,21,1045,1043,1042,8,6,4,18,11, ,0.00,0, ,9\
2008-1-17,-4,-8,-11,-9,-14,-21,86,61,38,1042,1038,1035,5,4,3,11,5, ,0.00,4,Nieve,66\
2008-1-18,-2,-6,-10,-8,-11,-13,93,78,59,1038,1036,1035,4,3,2,11,5, ,0.00,2,Nieve,348\
2008-1-19,-3,-7,-11,-10,-11,-13,93,74,55,1038,1037,1035,5,3,2,14,6, ,0.00,0, ,359\
2008-1-20,0,-4,-8,-11,-12,-15,79,56,34,1038,1036,1035,6,5,2,11,5, ,0.00,0, ,347\
2008-1-21,-3,-4,-6,-10,-12,-16,64,56,37,1036,1034,1031,10,9,6,6,5, ,0.00,6, ,39\
2008-1-22,-2,-6,-8,-7,-14,-23,93,54,26,1035,1032,1030,8,5,4,32,14, ,0.00, , ,305\
2008-1-23,-4,-7,-10,-22,-23,-24,35,28,22,1039,1037,1035, , , ,35,27,47,0.00, , ,312\
2008-1-24,-2,-6,-10,-21,-23,-25,33,25,18,1041,1039,1036, , , ,40,24,47,0.00, , ,335\
2008-1-25,-1,-4,-8,-16,-19,-21,43,33,25,1039,1037,1035, , , ,18,13, ,0.00, , ,19\
2008-1-26,3,-3,-8,-16,-18,-20,49,35,19,1041,1038,1037,8,7,7,18,13, ,0.00,0, ,349\
2008-1-27,1,-4,-10,-14,-16,-18,57,42,25,1038,1033,1027,8,6,5,14,6, ,0.00,0, ,349\
2008-1-28,1,-3,-7,-14,-19,-24,54,31,15,1028,1026,1023,8,6,5,21,14, ,0.00, , ,355\
2008-1-29,-1,-6,-9,-20,-21,-24,41,29,19,1029,1026,1025, , , ,43,23, ,0.00, , ,333\
2008-1-30,1,-4,-8,-18,-21,-22,35,27,17,1033,1031,1030, , , ,32,26, ,0.00, , ,314\
2008-1-31,3,-3,-10,-18,-19,-21,49,32,16,1035,1033,1030,6,6,6,21,13, ,0.00,0, ,349\
2008-2-1,3,-3,-9,-18,-19,-23,45,29,13,1033,1030,1026, , , ,29,16, ,0.00, , ,337\
2008-2-2,2,-4,-10,-17,-19,-21,49,31,17,1027,1025,1022, , , ,29,14, ,0.00, , ,333\
2008-2-3,2,-4,-9,-16,-19,-21,53,33,17,1029,1026,1024,8,7,5,18,10, ,0.00,0, ,34\
2008-2-4,1,-4,-10,-11,-16,-19,57,42,23,1030,1028,1026,7,5,4,18,6, ,0.00,0, ,58\
2008-2-5,1,-3,-7,-7,-16,-22,93,44,17,1033,1031,1029,6,5,4,32,16, ,0.00, , ,317\
2008-2-6,2,-4,-9,-18,-20,-21,45,30,17,1033,1031,1027, , , ,32,16, ,0.00, , ,331\
2008-2-7,2,-4,-11,-19,-20,-23,48,28,14,1031,1029,1026, , , ,32,14, ,0.00, , ,360\
2008-2-8,1,-4,-9,-18,-20,-24,41,28,15,1032,1030,1028, , , ,40,23,50,0.00, , ,330\
2008-2-9,4,-3,-9,-16,-18,-20,45,31,16,1032,1029,1026, , , ,32,18, ,0.00, , ,303\
2008-2-10,5,1,-3,-17,-20,-24,31,22,13,1031,1028,1026,8,8,8,29,14, ,0.00, , ,313\
2008-2-11,-1,-4,-7,-20,-26,-30,26,17,11,1037,1034,1031, , , ,43,26,50,0.00, , ,326\
2008-2-12,1,-6,-11,-23,-27,-29,30,18,10,1038,1035,1031,8,8,8,29,19,43,0.00,0, ,313\
2008-2-13,5,-3,-11,-19,-21,-23,45,24,13,1033,1030,1026, , , ,32,11,50,0.00, , ,288\
2008-2-14,5,-1,-6,-13,-18,-20,50,26,15,1030,1028,1025,8,8,8,21,11, ,0.00,0, ,329\
2008-2-15,4,-2,-7,-9,-11,-13,80,54,30,1033,1031,1028,10,8,6,11,6, ,0.00,1, ,76\
2008-2-16,6,-1,-8,-12,-17,-21,68,36,13,1034,1032,1030,8,7,7,26,11,40,0.00,0, ,334\
2008-2-17,5,-2,-9,-8,-12,-19,74,48,24,1040,1037,1035,8,8,7,14,8, ,0.00,0, ,107\
2008-2-18,4,-2,-7,-7,-9,-11,80,62,36,1039,1036,1032,8,7,4,6,3, ,0.00,0, ,83\
2008-2-19,11,2,-6,-9,-11,-13,80,45,18,1031,1028,1025,8,5,3,26,10, ,0.00,0, ,315\
2008-2-20,12,3,-5,-7,-11,-13,56,39,19,1029,1026,1022,9,7,4,21,10, ,0.00,0, ,111\
2008-2-21,11,3,-5,-6,-7,-8,80,55,26,1021,1016,1013,5,3,2,11,3, ,0.00,0, ,105\
