CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-4,-8,-3,-4,-8,100,92,70,1042,1036,1035,10,6,0,10,3,,0.25,4,Fog-Snow,251
2015-1-2,1,-4,-9,1,-4,-10,100,95,86,1041,1033,1030,19,7,0,10,3,,0.25,5,Fog-Rain-Snow,237
2015-1-3,3,1,0,2,1,0,100,97,84,1036,1026,1016,11,5,0,19,5,,6.10,6,Fog-Rain,265
2015-1-4,4,2,-1,4,-2,-8,100,77,34,1035,1027,1015,29,10,2,29,10,50,1.02,6,Rain-Snow,270
2015-1-5,1,-3,-6,-3,-5,-7,93,74,36,1038,1032,1029,31,12,6,35,14,58,0.00,5,Rain-Snow,272
2015-1-6,5,-1,-7,-3,-5,-7,93,81,50,1033,1027,1023,29,13,7,10,3,,0.00,5,,255
2015-1-7,4,-2,-8,-4,-6,-8,100,83,55,1036,1029,1026,31,12,8,11,3,,0.00,2,,251
2015-1-8,2,-3,-8,-3,-6,-9,100,86,52,1037,1031,1028,27,11,5,11,3,,0.00,6,,245
2015-1-9,11,3,-6,4,-2,-6,100,82,37,1037,1028,1021,31,10,0,32,6,52,0.00,6,Fog-Rain,262
2015-1-10,18,11,3,5,3,0,100,59,24,1023,1017,1014,18,10,0,39,10,60,0.00,5,Fog-Rain,257
2015-1-11,9,6,3,5,-1,-8,87,55,29,1027,1017,1010,29,11,10,47,18,82,3.05,6,Rain-Snow,263
2015-1-12,9,3,-2,-1,-2,-4,87,72,38,1031,1026,1023,31,12,8,35,14,,0.00,6,Rain-Snow,255
2015-1-13,9,2,-5,-4,-4,-6,93,69,26,1028,1021,1016,29,14,10,21,8,,0.00,3,,250
