PET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-2-15,32,28,24,24,23,23,94,82,53,1017,1012,1007,10,10,8,10,6,,0.00,6,Rain-Thunderstorm,260
2015-2-16,31,27,23,25,23,22,100,86,59,1018,1012,1007,10,9,3,19,6,,0.00,6,Rain-Thunderstorm,321
2015-2-17,32,28,24,26,24,23,94,86,62,1018,1011,1007,10,10,8,10,3,,0.00,6,Rain-Thunderstorm,327
2015-2-18,34,29,23,25,24,23,100,81,54,1015,1009,1005,10,9,1,14,5,,0.00,4,Fog,26
2015-2-19,34,28,23,26,24,23,94,76,51,1012,1007,1004,10,10,10,16,6,,0.00,4,,24
2015-2-20,34,29,23,26,24,23,100,80,49,1012,1007,1004,10,9,5,21,3,,0.00,5,,32
2015-2-21,35,30,25,25,24,21,94,75,38,1013,1009,1006,10,9,8,16,5,,0.00,5,Fog,28
2015-2-22,32,27,23,25,23,22,94,84,58,1017,1011,1007,10,9,2,26,8,,0.00,5,Rain,144
2015-2-23,34,29,24,24,23,22,94,78,49,1015,1011,1006,10,10,10,14,5,,0.00,4,,97
2015-2-24,29,26,23,25,24,23,100,88,72,1015,1010,1007,10,8,0,13,3,,0.00,4,Fog,139
2015-2-25,31,27,23,24,23,22,94,88,63,1016,1011,1007,10,9,2,29,8,,0.00,6,Fog-Rain-Thunderstorm,156
2015-2-26,32,28,23,24,23,22,94,84,58,1016,1011,1006,10,8,3,19,3,,0.00,5,Fog,246
2015-2-27,32,27,22,25,23,22,94,86,56,1015,1011,1006,10,8,1,24,6,,0.00,6,Fog-Rain-Thunderstorm,341
