
BRST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees 
2004-1-31,29,,29,22,22,22,66,66,66,1013,1013,1013,,,,6,6,,0.00,,,130 
2004-2-1,34,30,26,23,22,21,78,64,46,1015,1013,1010,10,10,10,23,11,,0.00,2,,62 
2004-2-2,33,30,27,24,22,21,74,64,52,1012,1011,1008,10,10,10,26,10,,0.00,2,,36 
2004-2-3,34,29,25,24,22,20,89,68,44,1012,1010,1009,10,10,10,34,10,,0.00,1,,146 
2004-2-4,32,28,24,23,22,21,89,72,52,1013,1011,1009,10,9,6,26,13,,0.00,1,,135 
2004-2-5,35,30,26,23,22,22,78,68,47,1011,1009,1007,10,10,10,26,11,,0.00,4,,78 
2004-2-6,28,26,24,25,23,22,94,87,70,1009,1007,1005,10,7,3,37,10,,0.00,7,Lluvia,166 
2004-2-7,26,23,21,22,21,19,94,83,74,1014,1011,1009,10,7,3,26,13,,0.00,8,Lluvia,287 
2004-2-8,28,24,22,21,20,19,94,75,58,1018,1015,1013,10,10,10,23,11,,0.00,3,,161 
2004-2-9,28,24,22,21,20,18,88,74,54,1018,1017,1016,10,9,4,26,11,,0.00,4,Lluvia,159 
2004-2-10,29,26,22,22,21,20,94,82,58,1017,1015,1014,10,9,5,29,10,,0.00,5,Lluvia,139 
2004-2-11,26,23,22,21,21,21,94,87,74,1018,1016,1014,10,7,3,16,6,,0.00,7,Lluvia,45 
2004-2-12,27,24,23,22,21,20,88,81,70,1019,1017,1016,10,10,10,23,10,,0.00,6,,132 
2004-2-13,29,26,23,23,22,21,89,78,62,1018,1016,1013,10,10,10,27,11,,0.00,3,,124 
2004-2-14,32,27,22,23,21,19,88,69,51,1015,1011,1007,10,10,10,19,10,,0.00,6,,70 
2004-2-15,31,27,24,23,23,22,89,79,58,1009,1007,1004,10,9,7,26,13,,0.00,6,Lluvia,356 
2004-2-16,29,27,24,24,23,22,94,84,66,1013,1010,1007,10,9,6,34,11,,0.00,6,Lluvia,161 
2004-2-17,28,26,24,23,22,21,94,82,70,1016,1014,1012,10,9,5,26,10,,0.00,5,,167 
