FECHA; Max TemperatureC; Min TemperatureC; Max Humidity; Min Humidity; Max VisibilityKm; Min VisibilitykM; Mean Wind SpeedKm/h; Precipitationmm
09-05-15;30;23;94;68;10;3;8;0.00
10-05-15;31;23;100;58;10;1;3;0.00
11-05-15;32;23;97;55;10;3;5;0.00
12-05-15;29;23;100;63;10;1;8;0.00
13-05-15;28;23;100;70;10;4;6;0.00
14-05-15;29;22;100;70;10;0;6;0.00
15-05-15;29;21;100;64;10;5;5;0.00
16-05-15;31;23;95;70;10;5;3;0.00
17-05-15;29;22;95;62;10;8;8;0.00
18-05-15;30;22;100;57;10;8;3;0.00
19-05-15;34;22;100;51;10;0;3;0.00
20-05-15;31;22;94;65;10;3;6;0.00
21-05-15;32;23;95;55;10;0;5;0.00
22-05-15;34;22;100;53;10;8;3;0.00
23-05-15;32;23;94;57;10;5;6;0.00
24-05-15;32;23;100;55;10;8;3;0.00
25-05-15;34;23;94;53;10;5;3;0.00
26-05-15;32;24;95;62;10;2;8;0.00
27-05-15;31;23;100;57;10;1;6;0.00
28-05-15;32;23;100;59;10;8;5;0.00
29-05-15;28;22;94;72;10;3;6;0.00
30-05-15;32;23;94;54;10;1;3;0.00
31-05-15;33;23;94;53;10;8;3;0.00
01-06-15;32;23;95;60;10;8;6;0.00
02-06-15;32;23;94;56;10;0;3;0.00
03-06-15;31;23;100;61;10;3;5;0.00
04-06-15;32;23;95;59;10;8;5;0.00
05-06-15;32;24;96;64;10;5;5;0.00
06-06-15;28;23;94;72;10;2;5;0.00
07-06-15;33;21;100;52;10;3;5;0.00
08-06-15;32;23;100;61;10;7;3;0.00
09-06-15;30;23;97;66;10;6;6;0.00
10-06-15;32;22;95;56;10;8;5;0.00
11-06-15;33;23;94;44;10;0;6;0.00
12-06-15;32;22;100;56;10;8;8;0.00
13-06-15;31;22;100;65;10;1;5;0.00
14-06-15;32;22;97;57;10;0;2;0.00
15-06-15;34;22;95;49;10;3;5;0.00
16-06-15;32;23;100;55;10;0;5;0.00
17-06-15;32;22;100;52;10;0;3;0.00
18-06-15;32;22;94;54;10;7;5;2.03
19-06-15;31;23;97;51;10;8;6;0.00
20-06-15;26;21;94;65;10;7;8;0.00
21-06-15;30;22;94;56;10;4;5;0.00
22-06-15;32;22;94;47;10;8;5;0.00
23-06-15;29;22;94;67;10;2;6;0.00
24-06-15;28;22;95;73;10;2;5;0.00
25-06-15;32;22;97;58;10;0;3;0.00
26-06-15;32;21;100;46;10;0;3;0.00
27-06-15;33;21;95;49;10;3;5;0.00
28-06-15;28;20;100;66;10;1;5;0.00
29-06-15;31;21;95;53;10;8;5;0.00
30-06-15;33;22;94;51;10;6;6;0.00
